price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
1450000,2018-05-04,05:38:11,53.2419091,83.7046163,22,3,4,4,2,44.0,6.0,1
3650000,2018-05-11,10:24:21,56.3861027,61.9263927,66,1,1,9,5,97.8,11.0,1
12000000,2018-05-12,21:08:19,55.627136,37.591736,77,1,4,9,3,64.9,7.0,1
1380000,2018-05-14,13:08:20,56.7714397,61.3265371,66,3,2,3,3,67.0,9.0,1
1650000,2018-05-14,14:36:10,56.1443201,44.1946326,52,3,5,5,2,45.5,6.0,1
2200000,2018-05-16,11:09:14,54.8934613,38.0789395,50,3,4,5,1,31.0,6.0,1
4550000,2018-05-16,11:32:28,55.9589987,38.035054,50,1,2,16,2,56.5,11.0,1
4800000,2018-05-16,15:24:56,51.8065028,107.6587536,3,3,2,5,4,109.0,11.0,1
1150000,2018-05-19,14:40:22,57.64913,39.946823,76,1,3,9,1,23.0,5.0,1
7100000,2018-05-22,11:26:47,60.0111721,30.2437953,78,3,7,12,3,69.0,11.0,1
2350000,2018-05-24,13:53:59,47.228601,39.703883,61,3,9,10,1,38.0,6.0,1
2350000,2018-05-26,20:15:51,60.061924,30.4731417,47,2,7,17,1,44.0,12.0,11
8500000,2018-05-26,21:20:25,59.8491039,30.3141123,78,3,14,14,2,60.0,11.0,1
1050000,2018-05-28,14:49:22,63.5659569,53.6612008,11,1,4,5,1,25.0,6.0,1
1500000,2018-05-29,20:34:52,54.524271,52.807177,16,1,2,5,2,44.0,6.0,1
3468912,2018-05-29,23:50:20,55.4508833,37.5420696,50,3,11,20,2,63.3,12.8,11
2700000,2018-05-30,19:27:04,45.0821634,39.1996631,23,1,3,5,3,59.0,6.0,1
2400000,2018-05-31,12:31:40,56.8757566,53.291533,18,1,4,5,4,58.0,5.6,1
2450000,2018-06-02,13:02:33,56.4964303,60.2373511,66,3,4,5,3,67.0,7.6,1
3830000,2018-06-02,13:27:09,59.9814905,30.3717295,78,2,2,17,1,44.9,16.5,11
3590000,2018-06-04,12:36:14,55.9493208,37.1802937,50,2,3,15,1,36.0,11.3,1
2980000,2018-06-04,21:48:53,65.9890409,57.5406513,11,1,7,9,2,52.0,12.0,1
2750000,2018-06-05,13:41:12,55.7403214,38.0228009,50,3,5,5,1,32.0,6.0,1
6800000,2018-06-07,02:15:15,43.4847646,43.5942119,7,4,4,9,3,97.0,30.0,1
13825000,2018-06-07,08:59:31,55.888657,37.4303702,50,3,7,7,2,197.5,14.8,11
4000000,2018-06-07,14:11:48,55.7770621,49.2167663,16,2,11,14,2,66.0,10.6,11
3800000,2018-06-08,14:49:04,45.067703,38.954166,23,3,5,19,2,60.0,12.0,1
4630000,2018-06-09,11:01:44,56.865892,53.2352957,18,3,3,17,3,91.1,20.0,11
4300000,2018-06-09,11:09:19,56.865892,53.2352957,18,3,7,17,3,85.0,28.7,11
3500000,2018-06-12,12:09:54,55.6511052,51.7998882,16,1,5,9,3,84.0,14.0,1
